id,Accession,ReleaseDate,Release Time,LoadDate,Load Time,bases,avgLength,CenterName
47,COVID1008_barcode12,3/12/2020,0:00,3/12/2020,0:00,10000000,2400,TTSH
48,COVID1008_barcode13,3/19/2020,0:00,3/19/2020,0:00,10000000,2400,TTSH
49,COVID1008_barcode14,3/19/2020,0:00,3/19/2020,0:00,10000000,2400,TTSH
50,COVID1008_barcode15,3/19/2020,0:00,3/19/2020,0:00,10000000,2400,TTSH
51,COVID1008_barcode16,3/19/2020,0:00,3/19/2020,0:00,10000000,2400,TTSH
52,COVID1008_barcode23,3/5/2020,0:00,3/5/2020,0:00,10000000,2400,TTSH
53,COVID1008_barcode38,4/3/2020,0:00,4/3/2020,0:00,10000000,2400,TTSH
54,COVID1008_barcode39,4/3/2020,0:00,4/3/2020,0:00,10000000,2400,TTSH
55,COVID1008_barcode40,4/4/2020,0:00,4/4/2020,0:00,10000000,2400,TTSH
56,COVID1008_barcode41,4/7/2020,0:00,4/7/2020,0:00,10000000,2400,TTSH
57,COVID1008_barcode43,4/9/2020,0:00,4/9/2020,0:00,10000000,2400,TTSH
58,COVID1008_barcode44,4/9/2020,0:00,4/9/2020,0:00,10000000,2400,TTSH
59,COVID1008_barcode45,4/9/2020,0:00,4/9/2020,0:00,10000000,2400,TTSH
60,COVID1008_barcode47,4/11/2020,0:00,4/11/2020,0:00,10000000,2400,TTSH
61,COVID1008_barcode49,4/11/2020,0:00,4/11/2020,0:00,10000000,2400,TTSH
62,COVID1008_barcode50,4/11/2020,0:00,4/11/2020,0:00,10000000,2400,TTSH
63,COVID1008_barcode51,4/12/2020,0:00,4/12/2020,0:00,10000000,2400,TTSH
64,COVID1008_barcode52,4/11/2020,0:00,4/11/2020,0:00,10000000,2400,TTSH
65,COVID1008_barcode53,4/12/2020,0:00,4/12/2020,0:00,10000000,2400,TTSH
66,COVID1008_barcode54,4/12/2020,0:00,4/12/2020,0:00,10000000,2400,TTSH
67,COVID1008_barcode57,4/12/2020,0:00,4/12/2020,0:00,10000000,2400,TTSH
68,COVID1008_barcode58,4/13/2020,0:00,4/13/2020,0:00,10000000,2400,TTSH
69,COVID1008_barcode59,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
70,COVID1008_barcode60,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
71,COVID1008_barcode61,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
72,COVID1008_barcode62,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
73,COVID1008_barcode63,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
74,COVID1008_barcode64,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
75,COVID1008_barcode65,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
76,COVID1008_barcode66,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
77,COVID1008_barcode67,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
78,COVID1008_barcode68,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
79,COVID1008_barcode69,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
80,COVID1008_barcode70,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
81,COVID1008_barcode71,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
82,COVID1008_barcode72,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
83,COVID1008_barcode73,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
84,COVID1008_barcode74,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
85,COVID1008_barcode75,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
86,COVID1008_barcode76,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
87,COVID1008_barcode79,4/14/2020,0:00,4/14/2020,0:00,10000000,2400,TTSH
88,COVID1009_barcode01,4/18/2020,0:00,4/18/2020,0:00,10000000,2400,TTSH
89,COVID1009_barcode02,4/18/2020,0:00,4/18/2020,0:00,10000000,2400,TTSH
90,COVID1009_barcode03,4/18/2020,0:00,4/18/2020,0:00,10000000,2400,TTSH
91,COVID1009_barcode04,4/18/2020,0:00,4/18/2020,0:00,10000000,2400,TTSH
92,COVID1009_barcode05,4/18/2020,0:00,4/18/2020,0:00,10000000,2400,TTSH
93,COVID1009_barcode06,4/19/2020,0:00,4/19/2020,0:00,10000000,2400,TTSH
94,COVID1009_barcode07,4/19/2020,0:00,4/19/2020,0:00,10000000,2400,TTSH
95,COVID1009_barcode08,4/20/2020,0:00,4/20/2020,0:00,10000000,2400,TTSH
96,COVID1009_barcode09,4/20/2020,0:00,4/20/2020,0:00,10000000,2400,TTSH
97,COVID1009_barcode10,4/21/2020,0:00,4/21/2020,0:00,10000000,2400,TTSH
98,COVID1009_barcode11,4/21/2020,0:00,4/21/2020,0:00,10000000,2400,TTSH
99,COVID1009_barcode12,4/21/2020,0:00,4/21/2020,0:00,10000000,2400,TTSH
100,COVID1009_barcode13,4/21/2020,0:00,4/21/2020,0:00,10000000,2400,TTSH
101,COVID1009_barcode14,4/21/2020,0:00,4/21/2020,0:00,10000000,2400,TTSH
102,COVID1009_barcode15,4/22/2020,0:00,4/22/2020,0:00,10000000,2400,TTSH
103,COVID1009_barcode16,4/22/2020,0:00,4/22/2020,0:00,10000000,2400,TTSH
104,COVID1009_barcode17,4/22/2020,0:00,4/22/2020,0:00,10000000,2400,TTSH
105,COVID1009_barcode18,4/22/2020,0:00,4/22/2020,0:00,10000000,2400,TTSH
106,COVID1009_barcode19,4/22/2020,0:00,4/22/2020,0:00,10000000,2400,TTSH
107,COVID1009_barcode20,4/22/2020,0:00,4/22/2020,0:00,10000000,2400,TTSH
108,COVID1009_barcode21,4/22/2020,0:00,4/22/2020,0:00,10000000,2400,TTSH
109,COVID1009_barcode22,4/22/2020,0:00,4/22/2020,0:00,10000000,2400,TTSH
110,COVID1009_barcode23,4/23/2020,0:00,4/23/2020,0:00,10000000,2400,TTSH
111,COVID1009_barcode24,4/23/2020,0:00,4/23/2020,0:00,10000000,2400,TTSH
112,COVID1009_barcode25,4/23/2020,0:00,4/23/2020,0:00,10000000,2400,TTSH
113,COVID1009_barcode26,4/23/2020,0:00,4/23/2020,0:00,10000000,2400,TTSH
114,COVID1009_barcode27,4/23/2020,0:00,4/23/2020,0:00,10000000,2400,TTSH
115,COVID1009_barcode28,4/23/2020,0:00,4/23/2020,0:00,10000000,2400,TTSH
116,COVID1009_barcode29,4/24/2020,0:00,4/24/2020,0:00,10000000,2400,TTSH
117,COVID1009_barcode30,4/24/2020,0:00,4/24/2020,0:00,10000000,2400,TTSH
118,COVID1009_barcode31,4/24/2020,0:00,4/24/2020,0:00,10000000,2400,TTSH
119,COVID1009_barcode32,4/24/2020,0:00,4/24/2020,0:00,10000000,2400,TTSH
120,COVID1009_barcode33,4/24/2020,0:00,4/24/2020,0:00,10000000,2400,TTSH
121,COVID1009_barcode34,4/24/2020,0:00,4/24/2020,0:00,10000000,2400,TTSH
122,COVID1009_barcode35,4/24/2020,0:00,4/24/2020,0:00,10000000,2400,TTSH
123,COVID1009_barcode36,4/24/2020,0:00,4/24/2020,0:00,10000000,2400,TTSH
124,COVID1009_barcode38,4/24/2020,0:00,4/24/2020,0:00,10000000,2400,TTSH
125,COVID1009_barcode39,4/25/2020,0:00,4/25/2020,0:00,10000000,2400,TTSH
126,COVID1009_barcode40,4/25/2020,0:00,4/25/2020,0:00,10000000,2400,TTSH
127,COVID1009_barcode41,4/25/2020,0:00,4/25/2020,0:00,10000000,2400,TTSH
128,COVID1009_barcode42,4/25/2020,0:00,4/25/2020,0:00,10000000,2400,TTSH
129,COVID1009_barcode43,4/25/2020,0:00,4/25/2020,0:00,10000000,2400,TTSH
130,COVID1009_barcode44,4/25/2020,0:00,4/25/2020,0:00,10000000,2400,TTSH
131,COVID1009_barcode45,4/26/2020,0:00,4/26/2020,0:00,10000000,2400,TTSH
132,COVID1009_barcode46,4/26/2020,0:00,4/26/2020,0:00,10000000,2400,TTSH
133,COVID1009_barcode47,4/26/2020,0:00,4/26/2020,0:00,10000000,2400,TTSH
134,COVID1009_barcode48,4/27/2020,0:00,4/27/2020,0:00,10000000,2400,TTSH
135,COVID1009_barcode49,4/27/2020,0:00,4/27/2020,0:00,10000000,2400,TTSH
136,COVID1009_barcode50,4/28/2020,0:00,4/28/2020,0:00,10000000,2400,TTSH
137,COVID1009_barcode51,4/28/2020,0:00,4/28/2020,0:00,10000000,2400,TTSH
138,COVID1009_barcode52,4/28/2020,0:00,4/28/2020,0:00,10000000,2400,TTSH
139,COVID1009_barcode53,4/28/2020,0:00,4/28/2020,0:00,10000000,2400,TTSH
140,COVID1009_barcode54,4/28/2020,0:00,4/28/2020,0:00,10000000,2400,TTSH
141,COVID1009_barcode55,4/29/2020,0:00,4/29/2020,0:00,10000000,2400,TTSH
142,COVID1009_barcode56,4/30/2020,0:00,4/30/2020,0:00,10000000,2400,TTSH
143,COVID1009_barcode57,4/30/2020,0:00,4/30/2020,0:00,10000000,2400,TTSH
144,COVID1009_barcode58,4/30/2020,0:00,4/30/2020,0:00,10000000,2400,TTSH
145,COVID1009_barcode59,5/1/2020,0:00,5/1/2020,0:00,10000000,2400,TTSH
146,COVID1009_barcode60,5/1/2020,0:00,5/1/2020,0:00,10000000,2400,TTSH
147,COVID1009_barcode61,5/1/2020,0:00,5/1/2020,0:00,10000000,2400,TTSH
148,COVID1009_barcode62,5/1/2020,0:00,5/1/2020,0:00,10000000,2400,TTSH
149,COVID1009_barcode63,5/1/2020,0:00,5/1/2020,0:00,10000000,2400,TTSH
150,COVID1009_barcode64,5/1/2020,0:00,5/1/2020,0:00,10000000,2400,TTSH
151,COVID1009_barcode65,5/2/2020,0:00,5/2/2020,0:00,10000000,2400,TTSH
152,COVID1009_barcode66,5/2/2020,0:00,5/2/2020,0:00,10000000,2400,TTSH
153,COVID1009_barcode67,5/2/2020,0:00,5/2/2020,0:00,10000000,2400,TTSH
154,COVID1010_barcode01,5/4/2020,0:00,5/4/2020,0:00,10000000,2400,TTSH
155,COVID1010_barcode02,5/4/2020,0:00,5/4/2020,0:00,10000000,2400,TTSH
156,COVID1010_barcode03,5/4/2020,0:00,5/4/2020,0:00,10000000,2400,TTSH
157,COVID1010_barcode04,5/5/2020,0:00,5/5/2020,0:00,10000000,2400,TTSH
158,COVID1010_barcode05,5/5/2020,0:00,5/5/2020,0:00,10000000,2400,TTSH
159,COVID1010_barcode06,5/5/2020,0:00,5/5/2020,0:00,10000000,2400,TTSH
160,COVID1010_barcode07,5/5/2020,0:00,5/5/2020,0:00,10000000,2400,TTSH
161,COVID1010_barcode08,5/5/2020,0:00,5/5/2020,0:00,10000000,2400,TTSH
162,COVID1010_barcode09,5/5/2020,0:00,5/5/2020,0:00,10000000,2400,TTSH
163,COVID1010_barcode10,5/6/2020,0:00,5/6/2020,0:00,10000000,2400,TTSH
164,COVID1010_barcode11,5/6/2020,0:00,5/6/2020,0:00,10000000,2400,TTSH
165,COVID1010_barcode12,5/7/2020,0:00,5/7/2020,0:00,10000000,2400,TTSH
166,COVID1010_barcode13,5/7/2020,0:00,5/7/2020,0:00,10000000,2400,TTSH
167,COVID1010_barcode14,5/8/2020,0:00,5/8/2020,0:00,10000000,2400,TTSH
168,COVID1010_barcode15,5/8/2020,0:00,5/8/2020,0:00,10000000,2400,TTSH
169,COVID1010_barcode16,5/8/2020,0:00,5/8/2020,0:00,10000000,2400,TTSH
170,COVID1010_barcode17,5/9/2020,0:00,5/9/2020,0:00,10000000,2400,TTSH
171,COVID1010_barcode18,5/9/2020,0:00,5/9/2020,0:00,10000000,2400,TTSH
172,COVID1010_barcode19,5/9/2020,0:00,5/9/2020,0:00,10000000,2400,TTSH
173,COVID1010_barcode20,5/9/2020,0:00,5/9/2020,0:00,10000000,2400,TTSH
174,COVID1010_barcode21,5/9/2020,0:00,5/9/2020,0:00,10000000,2400,TTSH
175,COVID1010_barcode22,5/9/2020,0:00,5/9/2020,0:00,10000000,2400,TTSH
176,COVID1010_barcode23,5/10/2020,0:00,5/10/2020,0:00,10000000,2400,TTSH
177,COVID1010_barcode24,5/10/2020,0:00,5/10/2020,0:00,10000000,2400,TTSH
178,COVID1010_barcode25,5/11/2020,0:00,5/11/2020,0:00,10000000,2400,TTSH
179,COVID1010_barcode26,5/11/2020,0:00,5/11/2020,0:00,10000000,2400,TTSH
180,COVID1010_barcode27,5/11/2020,0:00,5/11/2020,0:00,10000000,2400,TTSH
181,COVID1010_barcode28,5/11/2020,0:00,5/11/2020,0:00,10000000,2400,TTSH
182,COVID1010_barcode29,5/11/2020,0:00,5/11/2020,0:00,10000000,2400,TTSH
183,COVID1010_barcode30,5/11/2020,0:00,5/11/2020,0:00,10000000,2400,TTSH
184,COVID1010_barcode31,5/12/2020,0:00,5/12/2020,0:00,10000000,2400,TTSH
185,COVID1010_barcode32,5/12/2020,0:00,5/12/2020,0:00,10000000,2400,TTSH
186,COVID1010_barcode33,5/12/2020,0:00,5/12/2020,0:00,10000000,2400,TTSH
187,COVID1010_barcode34,5/13/2020,0:00,5/13/2020,0:00,10000000,2400,TTSH
188,COVID1010_barcode35,5/15/2020,0:00,5/15/2020,0:00,10000000,2400,TTSH
189,COVID1010_barcode36,5/15/2020,0:00,5/15/2020,0:00,10000000,2400,TTSH
190,COVID1010_barcode37,5/15/2020,0:00,5/15/2020,0:00,10000000,2400,TTSH
191,COVID1010_barcode38,5/15/2020,0:00,5/15/2020,0:00,10000000,2400,TTSH
192,COVID1010_barcode39,5/15/2020,0:00,5/15/2020,0:00,10000000,2400,TTSH
193,COVID1010_barcode40,5/15/2020,0:00,5/15/2020,0:00,10000000,2400,TTSH
194,COVID1010_barcode41,5/16/2020,0:00,5/16/2020,0:00,10000000,2400,TTSH
195,COVID1010_barcode42,5/16/2020,0:00,5/16/2020,0:00,10000000,2400,TTSH
196,COVID1010_barcode43,5/16/2020,0:00,5/16/2020,0:00,10000000,2400,TTSH
197,COVID1010_barcode44,5/16/2020,0:00,5/16/2020,0:00,10000000,2400,TTSH
198,COVID1010_barcode45,5/17/2020,0:00,5/17/2020,0:00,10000000,2400,TTSH
199,COVID1010_barcode46,5/17/2020,0:00,5/17/2020,0:00,10000000,2400,TTSH
200,COVID1010_barcode47,5/18/2020,0:00,5/18/2020,0:00,10000000,2400,TTSH
201,COVID1010_barcode48,5/18/2020,0:00,5/18/2020,0:00,10000000,2400,TTSH
202,COVID1010_barcode49,5/19/2020,0:00,5/19/2020,0:00,10000000,2400,TTSH
203,COVID1010_barcode50,5/19/2020,0:00,5/19/2020,0:00,10000000,2400,TTSH
204,COVID1010_barcode51,5/19/2020,0:00,5/19/2020,0:00,10000000,2400,TTSH
205,COVID1010_barcode52,5/21/2020,0:00,5/21/2020,0:00,10000000,2400,TTSH
206,COVID1010_barcode53,5/21/2020,0:00,5/21/2020,0:00,10000000,2400,TTSH
207,COVID1010_barcode54,5/21/2020,0:00,5/21/2020,0:00,10000000,2400,TTSH
208,COVID1010_barcode55,5/21/2020,0:00,5/21/2020,0:00,10000000,2400,TTSH
209,COVID1010_barcode56,5/22/2020,0:00,5/22/2020,0:00,10000000,2400,TTSH
210,COVID1010_barcode57,5/22/2020,0:00,5/22/2020,0:00,10000000,2400,TTSH
211,COVID1010_barcode58,5/24/2020,0:00,5/24/2020,0:00,10000000,2400,TTSH
212,COVID1010_barcode59,5/27/2020,0:00,5/27/2020,0:00,10000000,2400,TTSH
213,COVID1010_barcode60,5/27/2020,0:00,5/27/2020,0:00,10000000,2400,TTSH
214,COVID1010_barcode61,5/28/2020,0:00,5/28/2020,0:00,10000000,2400,TTSH
215,COVID1010_barcode62,5/30/2020,0:00,5/30/2020,0:00,10000000,2400,TTSH
216,COVID1010_barcode63,5/31/2020,0:00,5/31/2020,0:00,10000000,2400,TTSH
217,COVID1010_barcode64,5/31/2020,0:00,5/31/2020,0:00,10000000,2400,TTSH
218,COVID1010_barcode65,6/1/2020,0:00,6/1/2020,0:00,10000000,2400,TTSH
219,COVID1010_barcode66,6/1/2020,0:00,6/1/2020,0:00,10000000,2400,TTSH
220,COVID1010_barcode67,6/1/2020,0:00,6/1/2020,0:00,10000000,2400,TTSH
221,COVID1010_barcode68,6/1/2020,0:00,6/1/2020,0:00,10000000,2400,TTSH
222,COVID1010_barcode69,6/1/2020,0:00,6/1/2020,0:00,10000000,2400,TTSH
223,COVID1010_barcode70,6/1/2020,0:00,6/1/2020,0:00,10000000,2400,TTSH
224,COVID1010_barcode71,6/1/2020,0:00,6/1/2020,0:00,10000000,2400,TTSH
225,COVID1010_barcode72,6/1/2020,0:00,6/1/2020,0:00,10000000,2400,TTSH
226,COVID1010_barcode73,6/1/2020,0:00,6/1/2020,0:00,10000000,2400,TTSH
227,COVID1010_barcode74,6/1/2020,0:00,6/1/2020,0:00,10000000,2400,TTSH
228,COVID1010_barcode75,6/1/2020,0:00,6/1/2020,0:00,10000000,2400,TTSH
229,COVID1010_barcode76,6/1/2020,0:00,6/1/2020,0:00,10000000,2400,TTSH
230,COVID1010_barcode77,6/1/2020,0:00,6/1/2020,0:00,10000000,2400,TTSH
231,COVID1010_barcode78,6/1/2020,0:00,6/1/2020,0:00,10000000,2400,TTSH
232,COVID1011_barcode01,7/6/2020,0:00,7/6/2020,0:00,10000000,2400,TTSH
233,COVID1011_barcode02,7/7/2020,0:00,7/7/2020,0:00,10000000,2400,TTSH
234,COVID1011_barcode05,7/17/2020,0:00,7/17/2020,0:00,10000000,2400,TTSH
235,COVID1011_barcode06,7/17/2020,0:00,7/17/2020,0:00,10000000,2400,TTSH
236,COVID1011_barcode07,7/18/2020,0:00,7/18/2020,0:00,10000000,2400,TTSH
237,COVID1011_barcode08,7/20/2020,0:00,7/20/2020,0:00,10000000,2400,TTSH
238,COVID1011_barcode09,6/2/2020,0:00,6/2/2020,0:00,10000000,2400,TTSH
239,COVID1011_barcode10,6/2/2020,0:00,6/2/2020,0:00,10000000,2400,TTSH
240,COVID1011_barcode11,6/3/2020,0:00,6/3/2020,0:00,10000000,2400,TTSH
241,COVID1011_barcode12,6/3/2020,0:00,6/3/2020,0:00,10000000,2400,TTSH
242,COVID1011_barcode14,6/4/2020,0:00,6/4/2020,0:00,10000000,2400,TTSH
243,COVID1011_barcode15,6/4/2020,0:00,6/4/2020,0:00,10000000,2400,TTSH
244,COVID1011_barcode16,6/5/2020,0:00,6/5/2020,0:00,10000000,2400,TTSH
245,COVID1011_barcode17,6/6/2020,0:00,6/6/2020,0:00,10000000,2400,TTSH
246,COVID1011_barcode18,6/7/2020,0:00,6/7/2020,0:00,10000000,2400,TTSH
247,COVID1011_barcode19,6/7/2020,0:00,6/7/2020,0:00,10000000,2400,TTSH
248,COVID1011_barcode20,6/8/2020,0:00,6/8/2020,0:00,10000000,2400,TTSH
249,COVID1011_barcode21,6/8/2020,0:00,6/8/2020,0:00,10000000,2400,TTSH
250,COVID1011_barcode23,6/9/2020,0:00,6/9/2020,0:00,10000000,2400,TTSH
251,COVID1011_barcode24,6/9/2020,0:00,6/9/2020,0:00,10000000,2400,TTSH
252,COVID1011_barcode25,6/10/2020,0:00,6/10/2020,0:00,10000000,2400,TTSH
253,COVID1011_barcode26,6/11/2020,0:00,6/11/2020,0:00,10000000,2400,TTSH
254,COVID1011_barcode27,6/12/2020,0:00,6/12/2020,0:00,10000000,2400,TTSH
255,COVID1011_barcode28,6/13/2020,0:00,6/13/2020,0:00,10000000,2400,TTSH
256,COVID1011_barcode29,6/13/2020,0:00,6/13/2020,0:00,10000000,2400,TTSH
257,COVID1011_barcode30,6/14/2020,0:00,6/14/2020,0:00,10000000,2400,TTSH
258,COVID1011_barcode31,6/14/2020,0:00,6/14/2020,0:00,10000000,2400,TTSH
259,COVID1011_barcode32,6/14/2020,0:00,6/14/2020,0:00,10000000,2400,TTSH
260,COVID1011_barcode33,6/14/2020,0:00,6/14/2020,0:00,10000000,2400,TTSH
261,COVID1011_barcode34,6/15/2020,0:00,6/15/2020,0:00,10000000,2400,TTSH
262,COVID1011_barcode35,6/15/2020,0:00,6/15/2020,0:00,10000000,2400,TTSH
263,COVID1011_barcode36,6/16/2020,0:00,6/16/2020,0:00,10000000,2400,TTSH
264,COVID1011_barcode37,6/18/2020,0:00,6/18/2020,0:00,10000000,2400,TTSH
265,COVID1011_barcode38,6/18/2020,0:00,6/18/2020,0:00,10000000,2400,TTSH
266,COVID1011_barcode39,6/18/2020,0:00,6/18/2020,0:00,10000000,2400,TTSH
267,COVID1011_barcode40,6/19/2020,0:00,6/19/2020,0:00,10000000,2400,TTSH
268,COVID1011_barcode41,6/19/2020,0:00,6/19/2020,0:00,10000000,2400,TTSH
269,COVID1011_barcode42,6/21/2020,0:00,6/21/2020,0:00,10000000,2400,TTSH
270,COVID1011_barcode43,6/21/2020,0:00,6/21/2020,0:00,10000000,2400,TTSH
271,COVID1011_barcode44,6/22/2020,0:00,6/22/2020,0:00,10000000,2400,TTSH
272,COVID1011_barcode45,6/22/2020,0:00,6/22/2020,0:00,10000000,2400,TTSH
273,COVID1011_barcode46,6/22/2020,0:00,6/22/2020,0:00,10000000,2400,TTSH
274,COVID1011_barcode47,6/24/2020,0:00,6/24/2020,0:00,10000000,2400,TTSH
275,COVID1011_barcode48,6/25/2020,0:00,6/25/2020,0:00,10000000,2400,TTSH
276,COVID1011_barcode49,6/25/2020,0:00,6/25/2020,0:00,10000000,2400,TTSH
277,COVID1011_barcode50,6/25/2020,0:00,6/25/2020,0:00,10000000,2400,TTSH
278,COVID1011_barcode51,6/26/2020,0:00,6/26/2020,0:00,10000000,2400,TTSH
279,COVID1011_barcode53,6/29/2020,0:00,6/29/2020,0:00,10000000,2400,TTSH
280,COVID1011_barcode54,6/29/2020,0:00,6/29/2020,0:00,10000000,2400,TTSH
281,COVID1011_barcode55,6/29/2020,0:00,6/29/2020,0:00,10000000,2400,TTSH
282,COVID1011_barcode56,6/29/2020,0:00,6/29/2020,0:00,10000000,2400,TTSH
283,COVID1011_barcode57,6/30/2020,0:00,6/30/2020,0:00,10000000,2400,TTSH
284,COVID1011_barcode58,7/1/2020,0:00,7/1/2020,0:00,10000000,2400,TTSH
285,COVID1011_barcode59,7/1/2020,0:00,7/1/2020,0:00,10000000,2400,TTSH
286,COVID1011_barcode60,7/1/2020,0:00,7/1/2020,0:00,10000000,2400,TTSH
287,COVID1011_barcode61,7/1/2020,0:00,7/1/2020,0:00,10000000,2400,TTSH
288,COVID1011_barcode62,7/1/2020,0:00,7/1/2020,0:00,10000000,2400,TTSH
289,COVID1011_barcode63,7/2/2020,0:00,7/2/2020,0:00,10000000,2400,TTSH
290,COVID1011_barcode65,7/4/2020,0:00,7/4/2020,0:00,10000000,2400,TTSH
