id,Accession,ReleaseDate,Release Time,LoadDate,Load Time,bases,avgLength,CenterName
1,COVID1007_barcode06,3/18/2020,0:00,3/18/2020,0:00,10000000,2400,TTSH
2,COVID1007_barcode10,3/24/2020,0:00,3/24/2020,0:00,10000000,2400,TTSH
3,COVID1007_barcode11,4/9/2020,0:00,4/9/2020,0:00,10000000,2400,TTSH
4,COVID1007_barcode19,3/24/2020,0:00,3/24/2020,0:00,10000000,2400,TTSH
5,COVID1007_barcode26,3/28/2020,0:00,3/28/2020,0:00,10000000,2400,TTSH
6,COVID1007_barcode29,3/29/2020,0:00,3/29/2020,0:00,10000000,2400,TTSH
7,COVID1007_barcode31,3/31/2020,0:00,3/31/2020,0:00,10000000,2400,TTSH
8,COVID1007_barcode32,3/31/2020,0:00,3/31/2020,0:00,10000000,2400,TTSH
9,COVID1007_barcode33,4/1/2020,0:00,4/1/2020,0:00,10000000,2400,TTSH
10,COVID1007_barcode34,4/1/2020,0:00,4/1/2020,0:00,10000000,2400,TTSH
11,COVID1007_barcode35,4/2/2020,0:00,4/2/2020,0:00,10000000,2400,TTSH
12,COVID1007_barcode37,4/2/2020,0:00,4/2/2020,0:00,10000000,2400,TTSH
13,COVID1007_barcode39,4/3/2020,0:00,4/3/2020,0:00,10000000,2400,TTSH
14,COVID1007_barcode40,4/3/2020,0:00,4/3/2020,0:00,10000000,2400,TTSH
15,COVID1007_barcode41,4/4/2020,0:00,4/4/2020,0:00,10000000,2400,TTSH
16,COVID1007_barcode43,4/4/2020,0:00,4/4/2020,0:00,10000000,2400,TTSH
17,COVID1007_barcode44,4/5/2020,0:00,4/5/2020,0:00,10000000,2400,TTSH
18,COVID1007_barcode45,4/5/2020,0:00,4/5/2020,0:00,10000000,2400,TTSH
19,COVID1007_barcode46,4/6/2020,0:00,4/6/2020,0:00,10000000,2400,TTSH
20,COVID1007_barcode48,4/6/2020,0:00,4/6/2020,0:00,10000000,2400,TTSH
21,COVID1007_barcode49,4/6/2020,0:00,4/6/2020,0:00,10000000,2400,TTSH
22,COVID1007_barcode50,4/6/2020,0:00,4/6/2020,0:00,10000000,2400,TTSH
23,COVID1007_barcode51,4/7/2020,0:00,4/7/2020,0:00,10000000,2400,TTSH
24,COVID1007_barcode52,4/7/2020,0:00,4/7/2020,0:00,10000000,2400,TTSH
25,COVID1007_barcode53,4/7/2020,0:00,4/7/2020,0:00,10000000,2400,TTSH
26,COVID1007_barcode54,4/7/2020,0:00,4/7/2020,0:00,10000000,2400,TTSH
27,COVID1007_barcode55,4/7/2020,0:00,4/7/2020,0:00,10000000,2400,TTSH
28,COVID1007_barcode56,4/7/2020,0:00,4/7/2020,0:00,10000000,2400,TTSH
29,COVID1007_barcode57,4/8/2020,0:00,4/8/2020,0:00,10000000,2400,TTSH
30,COVID1007_barcode58,4/8/2020,0:00,4/8/2020,0:00,10000000,2400,TTSH
31,COVID1007_barcode59,4/9/2020,0:00,4/9/2020,0:00,10000000,2400,TTSH
32,COVID1007_barcode60,4/9/2020,0:00,4/9/2020,0:00,10000000,2400,TTSH
33,COVID1007_barcode61,4/10/2020,0:00,4/10/2020,0:00,10000000,2400,TTSH
34,COVID1007_barcode62,4/10/2020,0:00,4/10/2020,0:00,10000000,2400,TTSH
35,COVID1007_barcode63,4/10/2020,0:00,4/10/2020,0:00,10000000,2400,TTSH
36,COVID1008_barcode01,4/15/2020,0:00,4/15/2020,0:00,10000000,2400,TTSH
37,COVID1008_barcode02,4/15/2020,0:00,4/15/2020,0:00,10000000,2400,TTSH
38,COVID1008_barcode03,4/15/2020,0:00,4/15/2020,0:00,10000000,2400,TTSH
39,COVID1008_barcode04,4/15/2020,0:00,4/15/2020,0:00,10000000,2400,TTSH
40,COVID1008_barcode05,4/15/2020,0:00,4/15/2020,0:00,10000000,2400,TTSH
41,COVID1008_barcode06,4/16/2020,0:00,4/16/2020,0:00,10000000,2400,TTSH
42,COVID1008_barcode07,4/16/2020,0:00,4/16/2020,0:00,10000000,2400,TTSH
43,COVID1008_barcode08,4/16/2020,0:00,4/16/2020,0:00,10000000,2400,TTSH
44,COVID1008_barcode09,4/16/2020,0:00,4/16/2020,0:00,10000000,2400,TTSH
45,COVID1008_barcode10,4/16/2020,0:00,4/16/2020,0:00,10000000,2400,TTSH
46,COVID1008_barcode11,4/17/2020,0:00,4/17/2020,0:00,10000000,2400,TTSH
