id,Accession,ReleaseDate
1,COVID1007_barcode19,3/24/2020
2,COVID1007_barcode29,3/29/2020
3,COVID1007_barcode32,3/31/2020
4,COVID1007_barcode33,4/1/2020
5,COVID1007_barcode37,4/2/2020
6,COVID1007_barcode39,4/3/2020
7,COVID1007_barcode40,4/3/2020
8,COVID1007_barcode45,4/5/2020
9,COVID1007_barcode56,4/7/2020
10,COVID1008_barcode07,4/16/2020
11,COVID1008_barcode08,4/16/2020
12,COVID1008_barcode16,3/19/2020
13,COVID1008_barcode45,4/9/2020
14,COVID1008_barcode52,4/11/2020
15,COVID1008_barcode54,4/12/2020
16,COVID1008_barcode61,4/14/2020
17,COVID1008_barcode73,4/14/2020
18,COVID1008_barcode74,4/14/2020
19,COVID1009_barcode20,4/22/2020
20,COVID1009_barcode28,4/23/2020
21,COVID1009_barcode30,4/24/2020
22,COVID1009_barcode35,4/24/2020
23,COVID1009_barcode41,4/25/2020
24,COVID1009_barcode43,4/25/2020
25,COVID1009_barcode44,4/25/2020
26,COVID1009_barcode52,4/28/2020
27,COVID1010_barcode01,5/4/2020
28,COVID1010_barcode12,5/7/2020
29,COVID1010_barcode30,5/11/2020
30,COVID1010_barcode32,5/12/2020
31,COVID1010_barcode34,5/13/2020
32,COVID1010_barcode46,5/17/2020
33,COVID1010_barcode49,5/19/2020
34,COVID1010_barcode51,5/19/2020
35,COVID1010_barcode54,5/21/2020
36,COVID1010_barcode55,5/21/2020
37,COVID1011_barcode09,6/2/2020
38,COVID1011_barcode63,7/2/2020
