COVID1007_barcode01,0
COVID1007_barcode02,0
COVID1007_barcode03,0
COVID1007_barcode04,0
COVID1007_barcode05,0
COVID1007_barcode07,0
COVID1007_barcode08,0
COVID1007_barcode09,0
COVID1007_barcode12,0
COVID1007_barcode13,0
COVID1007_barcode14,0
COVID1007_barcode15,0
COVID1007_barcode16,0
COVID1007_barcode17,0
COVID1007_barcode18,0
COVID1007_barcode20,0
COVID1007_barcode21,0
COVID1007_barcode22,1
COVID1007_barcode23,0
COVID1007_barcode24,1
COVID1007_barcode25,0
COVID1007_barcode27,0
COVID1007_barcode28,0
COVID1007_barcode30,0
COVID1007_barcode36,0
COVID1007_barcode38,0
COVID1007_barcode42,0
COVID1007_barcode47,0
COVID1008_barcode17,0
COVID1008_barcode18,0
COVID1008_barcode19,0
COVID1008_barcode20,0
COVID1008_barcode21,0
COVID1008_barcode22,0
COVID1008_barcode24,0
COVID1008_barcode25,0
COVID1008_barcode26,0
COVID1008_barcode27,0
COVID1008_barcode28,0
COVID1008_barcode29,0
COVID1008_barcode30,0
COVID1008_barcode31,0
COVID1008_barcode32,0
COVID1008_barcode33,0
COVID1008_barcode34,0
COVID1008_barcode35,0
COVID1008_barcode36,0
COVID1008_barcode37,0
COVID1008_barcode42,0
COVID1008_barcode48,0
COVID1008_barcode55,0
COVID1008_barcode56,0
COVID1008_barcode77,0
COVID1008_barcode78,0
COVID1011_barcode03,0
COVID1011_barcode04,0
COVID1011_barcode22,0
